,importance
log_aqi_lag_1h,0.5070779029730973
aqi_lag_1h,0.4626895821198255
hour_cos,0.007946149048423118
aqi_rolling_3h_mean,0.004356159402638429
aqi_change_rate_24h,0.002581045237380289
aqi_rolling_24h_max,0.0015718011096244363
dew_point_c,0.001483134948965086
ventilation_idx,0.0013344551540587096
log_aqi_lag_24h,0.0010591892943026982
windgusts_kmh,0.0009096331111154234
aqi_lag_24h,0.0008289512340531683
doy_sin,0.0007997129162174629
doy_cos,0.0007937000633311356
aqi_lag_3h,0.000639051594687459
aqi_rolling_24h_mean,0.0006125402301801721
log_aqi_lag_3h,0.0005605173375487926
pressure_x_temp,0.0005443392666259841
winddir_deg,0.0005342239712902368
aqi_rolling_6h_mean,0.0005191744719193449
temp_c,0.0004260359908543319
windspeed_kmh,0.00037929045438930874
wind_dispersion,0.0003748988983199632
pressure_hpa,0.00036738237422916163
pressure_x_humidity,0.0003595762220063707
humidity_x_cloud,0.00032978406623052184
dew_depression,0.0002664596641108235
humidity_pct,0.00021477004165325973
is_weekend,0.00014160392562163673
cloudcover_pct,0.00010739130915848399
month_cos,6.469135744701371e-05
month_sin,4.6460447528914574e-05
hour_sin,3.82628769248396e-05
precipitation_mm,1.373080701796906e-05
log_aqi_lag_6h,1.326133386960853e-05
aqi_lag_6h,1.0073434579745596e-05
aqi_rolling_3h_std,3.992109770462715e-06
aqi_change_rate_6h,6.765870736363617e-07
aqi_change_rate_1h,3.9461392905975274e-07
aqi_momentum,1.5233410320376212e-16
visibility_m,0.0
season_num,0.0
season_x_pressure,0.0
