,importance
pm25_iaqi,0.5092650154513408
log_pm25_iaqi,0.4885555914728483
no2_iaqi,0.0003930140268789878
doy_sin,0.0003494086358475214
doy_cos,0.0002123807166166048
aqi_lag_24h,0.00018950815205161925
log_aqi_lag_24h,0.00018180227464364876
is_weekend,0.000160560751051913
o3_iaqi,0.00012834252672703475
co_iaqi,8.499648225290913e-05
pm10_iaqi,6.935558571746143e-05
log_pm10_iaqi,6.040047314619852e-05
month_sin,5.6429184534519004e-05
aqi,5.408133747699462e-05
aqi_rolling_24h_max,5.0077696708845775e-05
month_cos,2.857798652906285e-05
pressure_hpa,2.5592682558078835e-05
log_aqi_lag_1h,2.3825268054245572e-05
aqi_lag_1h,2.3818058144369573e-05
aqi_change_rate_24h,2.1061752433639802e-05
aqi_rolling_3h_mean,9.281642590721678e-06
aqi_rolling_6h_mean,7.79658067747768e-06
aqi_lag_3h,7.789396567402653e-06
log_aqi_lag_6h,5.736461646516082e-06
dew_point_c,5.313253349369693e-06
log_aqi_lag_3h,4.3174237105718304e-06
winddir_deg,4.275691052457106e-06
aqi_cat_ordinal,2.859435281515443e-06
aqi_lag_6h,2.813697877010051e-06
humidity_pct,2.6159058602850146e-06
pressure_x_temp,2.3362878537623553e-06
aqi_rolling_24h_mean,2.1498811670708343e-06
temp_c,1.8821924972142862e-06
dew_depression,1.5950340161575684e-06
humidity_pm25_interaction,1.188313160999023e-06
pressure_x_humidity,1.1510305750209638e-06
pollution_accumulation_idx,1.0589581980800352e-06
humidity_x_cloud,7.07320583671282e-07
wind_dispersion,5.381958841221732e-07
ventilation_idx,4.986151615067813e-07
cloudcover_pct,2.541666605778217e-07
windgusts_kmh,2.0117429347850484e-14
windspeed_kmh,1.566087846018011e-14
hour_sin,1.2058776442501915e-14
hour_cos,9.638899133149511e-15
aqi_change_rate_6h,6.015677025712028e-15
aqi_rolling_3h_std,1.5104149170543113e-15
precipitation_mm,6.789994214548731e-16
aqi_change_rate_1h,9.589586215855838e-17
visibility_m,0.0
season_num,0.0
season_x_pressure,0.0
aqi_momentum,0.0
