"timestamp","city","hour","day_of_week","month","day_of_year","hour_sin","hour_cos","month_sin","month_cos","doy_sin","doy_cos","is_weekend","is_peak_hour","is_night","season","temp_c","humidity_pct","windspeed_kmh","winddir_deg","windgusts_kmh","pressure_hpa","uv_index","dew_point_c","cloudcover_pct","visibility_m","precipitation_mm","rain_mm","heat_index_c","wind_chill_c","apparent_temp_delta","weathercode","aqi","dominant_poll","pm25_iaqi","pm10_iaqi","no2_iaqi","o3_iaqi","co_iaqi","so2_iaqi","aqi_cat_ordinal","aqi_cat_label","pollution_accumulation_idx","ventilation_idx","humidity_pm25_interaction","uv_o3_interaction","temp_range_c","temp_variance","wind_variance","aqi_lag_1h","aqi_lag_3h","aqi_rolling_3h_mean","aqi_rolling_3h_std","aqi_change_rate_1h","target_aqi_current","target_aqi_cat_current","target_pm25_day1_avg","target_aqi_cat_day1","target_pm25_day2_avg","target_aqi_cat_day2","target_trend_direction"
"2026-06-27T02:06:03.992173+00:00","Lahore","2","5","6","178","0.5","0.866025","0.0","-1.0","0.077386","-0.997001","1","0","1","2","30.3","80","3.0","108","5.4","976.9","0.0","25.8","0","8840.0","0.0","0.0","38.6","","6.2","0","80","pm25","80","30","9.6","32.5","5.5","3.1","1","Moderate","48.0","3.75","64.0","0.0","10.6","13.0983","1.3769","82.0","122.0","110.33","20.14","-45.0","80","1","184","3","188","3","1"
"2026-06-27T06:20:39.948730+00:00","Lahore","6","5","6","178","1.0","0.0","0.0","-1.0","0.077386","-0.997001","1","0","0","2","36.7","82","3.8","63","5.4","977.7","0.2","25.4","0","7860.0","0.0","0.0","66.23","","-1.4","95","97","pm25","97","41","17.4","43.9","6.4","4.6","1","Moderate","46.4579","3.9175","79.54","8.78","10.6","13.0983","1.3769","82.0","122.0","110.33","20.14","-45.0","97","1","184","3","188","3","1"
"2026-06-27T09:22:28.581661+00:00","Lahore","9","5","6","178","0.707107","-0.707107","0.0","-1.0","0.077386","-0.997001","1","1","0","2","38.5","57","2.3","78","10.8","978.4","4.55","24.2","0","10500.0","0.0","0.0","54.65","","0.9","95","74","pm25","74","29","8.7","58.4","5.5","4.1","1","Moderate","50.513","3.1081","42.18","265.72","9.8","11.9921","2.295","82.0","122.0","110.33","20.14","-45.0","74","1","184","3","188","3","1"
"2026-06-27T11:19:37.253206+00:00","Lahore","11","5","6","178","0.258819","-0.965926","0.0","-1.0","0.077386","-0.997001","1","0","0","2","38.7","47","3.9","108","8.6","978.2","7.65","23.1","1","11740.0","0.0","0.0","48.86","","3.8","1","78","pm25","78","35","8.7","50","5.5","4.1","1","Moderate","29.4","5.0","36.66","382.5","9.8","11.9921","2.295","82.0","122.0","110.33","20.14","-45.0","78","1","184","3","188","3","1"
"2026-06-27T13:06:55.265198+00:00","Lahore","13","5","6","178","-0.258819","-0.965926","0.0","-1.0","0.077386","-0.997001","1","0","0","2","37.4","41","5.8","90","7.2","976.5","8.45","22.5","2","11740.0","0.0","0.0","42.51","","7.2","95","91","pm25","91","44","8.3","52.6","5.5","4.1","1","Moderate","22.1224","6.3736","37.31","444.47","9.8","11.9921","2.295","82.0","122.0","110.33","20.14","-45.0","91","1","184","3","188","3","1"
"2026-06-27T15:07:45.750475+00:00","Lahore","15","5","6","178","-0.707107","-0.707107","0.0","-1.0","0.077386","-0.997001","1","0","0","2","33.8","41","3.1","36","14.8","975.7","6.6","22.0","4","12560.0","0.0","0.0","35.34","","8.8","0","85","pm25","85","31","9.2","41.9","5.5","4.1","1","Moderate","38.6613","3.6471","34.85","276.54","8.7","9.7882","1.7249","82.0","122.0","110.33","20.14","-45.0","85","1","184","3","188","3","1"
"2026-06-27T16:55:38.925824+00:00","Lahore","16","5","6","178","-0.866025","-0.5","0.0","-1.0","0.077386","-0.997001","1","0","0","2","32.6","41","4.5","43","15.8","974.7","4.95","22.2","3","12560.0","0.0","0.0","33.37","","9.3","0","89","pm25","89","33","10.6","34.2","5.5","4.1","1","Moderate","27.8867","5.0562","36.49","169.29","8.7","9.7882","1.7249","82.0","122.0","110.33","20.14","-45.0","89","1","184","3","188","3","1"
"2026-06-27T17:55:01.739881+00:00","Lahore","17","5","6","178","-0.965926","-0.258819","0.0","-1.0","0.077386","-0.997001","1","1","0","2","31.9","43","4.9","43","15.8","973.9","3.1","22.4","7","11740.0","0.0","0.0","32.68","","9.6","0","89","pm25","89","39","8.7","33.8","4.6","4.1","1","Moderate","25.9735","5.5056","38.27","104.78","8.7","9.7882","1.7249","82.0","122.0","110.33","20.14","-45.0","89","1","184","3","188","3","1"
"2026-06-27T19:03:00.907321+00:00","Lahore","19","5","6","178","-0.965926","0.258819","0.0","-1.0","0.077386","-0.997001","1","1","0","2","31.6","54","4.5","231","13.7","971.7","0.1","25.1","3","11760.0","0.0","0.0","34.58","","10.5","0","91","pm25","91","41","9.6","33.8","4.6","4.1","1","Moderate","31.1422","4.9451","49.14","3.38","13.6","16.2641","17.6885","82.0","122.0","110.33","20.14","-45.0","91","1","198","3","152","3","1"
"2026-06-27T20:49:19.006994+00:00","Lahore","20","5","6","178","-0.866025","0.5","0.0","-1.0","0.077386","-0.997001","1","0","0","2","31.0","57","4.3","193","14.0","972.1","0.0","25.4","2","11760.0","0.0","0.0","34.12","","10.8","0","102","pm25","102","50","9.2","29.7","5.5","4.1","2","Unhealthy for Sensitive Groups","37.2419","4.2157","58.14","0.0","13.6","16.2641","17.6885","82.0","122.0","110.33","20.14","-45.0","102","2","198","3","152","3","1"
"2026-06-27T21:53:20.434941+00:00","Lahore","21","5","6","178","-0.707107","0.707107","0.0","-1.0","0.077386","-0.997001","1","0","0","2","30.7","59","4.2","180","16.6","972.5","0.0","25.2","2","10520.0","0.0","0.0","33.99","","9.7","0","102","pm25","102","50","9.2","29.7","5.5","4.1","2","Unhealthy for Sensitive Groups","38.6143","4.1176","60.18","0.0","13.6","16.2641","17.6885","82.0","122.0","110.33","20.14","-45.0","102","2","198","3","152","3","1"
"2026-06-27T22:53:56.945970+00:00","Lahore","22","5","6","178","-0.5","0.866025","0.0","-1.0","0.077386","-0.997001","1","0","1","2","30.8","59","7.5","182","18.0","972.9","0.0","24.6","0","10520.0","0.0","0.0","34.19","","8.5","0","102","pm25","102","50","9.2","29.7","5.5","4.1","2","Unhealthy for Sensitive Groups","21.624","7.3529","60.18","0.0","13.6","16.2641","17.6885","82.0","122.0","110.33","20.14","-45.0","102","2","198","3","152","3","1"
