timestamp,city,hour,day_of_week,month,day_of_year,hour_sin,hour_cos,month_sin,month_cos,doy_sin,doy_cos,is_weekend,is_peak_hour,is_night,season,temp_c,humidity_pct,windspeed_kmh,winddir_deg,windgusts_kmh,pressure_hpa,uv_index,dew_point_c,cloudcover_pct,visibility_m,precipitation_mm,rain_mm,heat_index_c,wind_chill_c,apparent_temp_delta,weathercode,aqi,dominant_poll,pm25_iaqi,pm10_iaqi,no2_iaqi,o3_iaqi,co_iaqi,so2_iaqi,aqi_cat_ordinal,aqi_cat_label,pollution_accumulation_idx,ventilation_idx,humidity_pm25_interaction,uv_o3_interaction,temp_range_c,temp_variance,wind_variance,aqi_lag_1h,aqi_lag_3h,aqi_rolling_3h_mean,aqi_rolling_3h_std,aqi_change_rate_1h,target_aqi_current,target_aqi_cat_current,target_pm25_day1_avg,target_aqi_cat_day1,target_pm25_day2_avg,target_aqi_cat_day2,target_trend_direction
2026-05-03T01:49:27.470110+00:00,Lahore,1,6,5,123,0.258819,0.965926,0.5,-0.866025,0.854322,-0.519744,1,0,1,1,27.4,38,12.9,63,44.3,974.3,0.0,12.8,8,18420.0,0.0,0.0,27.06,,0.5,0,117,pm25,117,41,7.8,30.1,7.3,2.6,2,Unhealthy for Sensitive Groups,12.5163,11.0256,44.46,0.0,12.4,16.1123,8.9332,127.0,122.0,123.67,2.36,5.0,117,2,124,2,154,3,1
2026-05-03T05:21:59.487888+00:00,Lahore,5,6,5,123,0.965926,0.258819,0.5,-0.866025,0.854322,-0.519744,1,0,1,1,35.0,47,13.3,31,15.1,975.2,0.0,13.5,13,17840.0,0.0,0.0,39.54,,-9.8,0,89,pm25,89,30,6.4,40.7,6.4,2.6,1,Moderate,9.8368,14.9438,41.83,0.0,12.4,16.1123,8.9332,127.0,122.0,123.67,2.36,5.0,89,1,124,2,154,3,1
2026-05-03T07:46:51.512380+00:00,Lahore,7,6,5,123,0.965926,-0.258819,0.5,-0.866025,0.854322,-0.519744,1,1,0,1,36.8,55,12.5,65,47.9,977.6,0.9,15.0,2,17500.0,0.0,0.0,47.86,,-12.3,1,72,pm25,72,24,6.4,51.3,5.5,2.6,1,Moderate,8.928,17.3611,39.6,46.17,13.8,17.7352,19.0933,127.0,122.0,123.67,2.36,5.0,72,1,124,2,154,3,1
2026-05-03T09:12:51.119692+00:00,Lahore,9,6,5,123,0.707107,-0.707107,0.5,-0.866025,0.854322,-0.519744,1,1,0,1,37.3,41,11.3,98,45.0,978.4,4.35,14.8,0,17800.0,0.0,0.0,42.28,,-9.0,3,70,pm25,70,24,6.4,57.1,5.5,3.1,1,Moderate,8.7345,16.1429,28.7,248.385,13.8,17.7352,19.0933,127.0,122.0,123.67,2.36,5.0,70,1,124,2,154,3,1
2026-05-03T10:44:10.727878+00:00,Lahore,10,6,5,123,0.5,-0.866025,0.5,-0.866025,0.854322,-0.519744,1,0,0,1,35.5,34,9.2,110,46.8,978.4,6.1,13.9,0,18320.0,0.0,0.0,36.39,,-4.5,2,68,pm25,68,24,7.4,55.8,6.4,2.6,1,Moderate,9.9043,13.5294,23.12,340.38,13.8,17.7352,19.0933,127.0,122.0,123.67,2.36,5.0,68,1,124,2,154,3,1
2026-05-03T11:35:05.944872+00:00,Lahore,11,6,5,123,0.258819,-0.965926,0.5,-0.866025,0.854322,-0.519744,1,0,0,1,35.2,28,9.4,114,46.4,978.5,7.4,13.2,0,18460.0,0.0,0.0,34.55,,-1.4,2,70,pm25,70,28,8.3,51.3,6.4,4.6,1,Moderate,9.5319,13.4286,19.6,379.62,13.8,17.7352,19.0933,127.0,122.0,123.67,2.36,5.0,70,1,124,2,154,3,1
2026-05-03T12:43:56.853810+00:00,Lahore,12,6,5,123,0.0,-1.0,0.5,-0.866025,0.854322,-0.519744,1,0,0,1,34.3,27,11.3,112,41.0,979.6,8.1,13.8,48,18460.0,0.0,0.0,33.18,,1.9,2,65,pm25,65,26,11.0,35.4,7.3,5.1,1,Moderate,7.3053,17.3846,17.55,286.74,13.8,17.7352,19.0933,127.0,122.0,123.67,2.36,5.0,65,1,124,2,154,3,1
2026-05-03T14:05:41.288907+00:00,Lahore,14,6,5,123,-0.5,-0.866025,0.5,-0.866025,0.854322,-0.519744,1,0,0,1,29.0,28,12.2,189,36.7,979.3,7.4,12.4,73,18440.0,0.0,0.0,27.76,,5.2,1,65,pm25,65,25,12.4,31.3,8.2,5.1,1,Moderate,6.8197,18.7692,18.2,231.62,10.5,10.4669,23.3069,127.0,122.0,123.67,2.36,5.0,65,1,124,2,154,3,1
2026-05-03T15:37:29.983837+00:00,Lahore,15,6,5,123,-0.707107,-0.707107,0.5,-0.866025,0.854322,-0.519744,1,0,0,1,27.7,28,10.1,93,32.0,978.3,6.05,12.6,77,18420.0,0.0,0.0,26.8,,5.6,2,74,pm25,74,28,12.4,33.3,8.2,5.1,1,Moderate,9.3782,13.6486,20.72,201.465,10.5,10.4669,23.3069,127.0,122.0,123.67,2.36,5.0,74,1,124,2,154,3,1
2026-05-03T16:36:41.265884+00:00,Lahore,16,6,5,123,-0.866025,-0.5,0.5,-0.866025,0.854322,-0.519744,1,0,0,1,26.7,28,10.3,138,19.4,977.7,4.0,12.3,98,18400.0,0.0,0.0,,,5.8,2,78,pm25,78,29,14.2,31.7,8.2,4.6,1,Moderate,9.6932,13.2051,21.84,126.8,10.5,10.4669,23.3069,127.0,122.0,123.67,2.36,5.0,78,1,124,2,154,3,1
