"timestamp","city","hour","day_of_week","month","day_of_year","hour_sin","hour_cos","month_sin","month_cos","doy_sin","doy_cos","is_weekend","is_peak_hour","is_night","season","temp_c","humidity_pct","windspeed_kmh","winddir_deg","windgusts_kmh","pressure_hpa","uv_index","dew_point_c","cloudcover_pct","visibility_m","precipitation_mm","rain_mm","heat_index_c","wind_chill_c","apparent_temp_delta","weathercode","aqi","dominant_poll","pm25_iaqi","pm10_iaqi","no2_iaqi","o3_iaqi","co_iaqi","so2_iaqi","aqi_cat_ordinal","aqi_cat_label","pollution_accumulation_idx","ventilation_idx","humidity_pm25_interaction","uv_o3_interaction","temp_range_c","temp_variance","wind_variance","aqi_lag_1h","aqi_lag_3h","aqi_lag_6h","aqi_lag_24h","aqi_rolling_3h_mean","aqi_rolling_3h_std","aqi_rolling_6h_mean","aqi_rolling_24h_mean","aqi_rolling_24h_max","aqi_change_rate_1h","aqi_change_rate_6h","aqi_change_rate_24h","target_aqi_current","target_aqi_cat_current","target_pm25_day1_avg","target_pm25_day2_avg","target_aqi_cat_day1","target_aqi_cat_day2","target_trend_direction"
"2026-02-09T00:00:00+00:00","Lahore","0","0","2","40","0.0","1.0","0.866025","0.5","0.635432","0.772157","0","0","1","0","12.0","72","2.3","141","3.2","1013.6","0","7.1","100","","0.0","0.0","","","-1.1","3","71","pm25","98","41","18","39","2","4","1","Moderate","73.287","3.2394","70.56","0","","","","","","","","","","","","","","","","71","1","98","98","1","1","0"
"2026-02-09T01:00:00+00:00","Lahore","1","0","2","40","0.258819","0.965926","0.866025","0.5","0.635432","0.772157","0","0","1","0","11.4","74","2.6","155","4.3","1014.1","0","6.9","100","","0.0","0.0","","","-1.1","3","71","pm25","98","41","18","39","2","4","1","Moderate","65.5846","3.662","72.52","0","","","","71.0","","","","","","","","","","","","71","1","98","98","1","1","0"
"2026-02-09T02:00:00+00:00","Lahore","2","0","2","40","0.5","0.866025","0.866025","0.5","0.635432","0.772157","0","0","1","0","11.4","73","2.9","158","4.7","1014.6","0","6.7","99","","0.0","0.0","","","-1.3","3","71","pm25","98","41","18","39","2","4","1","Moderate","58.4621","4.0845","71.54","0","","","","71.0","","","","","","","","","0.0","","","71","1","98","98","1","1","0"
"2026-02-09T03:00:00+00:00","Lahore","3","0","2","40","0.707107","0.707107","0.866025","0.5","0.635432","0.772157","0","0","1","0","12.9","65","5.7","152","10.1","1015.2","0","6.4","88","","0.0","0.0","","","-1.8","3","71","pm25","98","41","18","39","2","4","1","Moderate","28.3684","8.0282","63.7","0","","","","71.0","71.0","","","71.0","0.0","","","","0.0","","","71","1","98","98","1","1","0"
"2026-02-09T04:00:00+00:00","Lahore","4","0","2","40","0.866025","0.5","0.866025","0.5","0.635432","0.772157","0","0","1","0","15.8","54","3.5","114","11.5","1015.9","0","6.6","100","","0.0","0.0","","","-1.4","3","71","pm25","98","41","18","39","2","4","1","Moderate","43.12","4.9296","52.92","0","","","","71.0","71.0","","","71.0","0.0","","","","0.0","","","71","1","98","98","1","1","0"
"2026-02-09T05:00:00+00:00","Lahore","5","0","2","40","0.965926","0.258819","0.866025","0.5","0.635432","0.772157","0","0","1","0","19.0","45","3.2","117","13.0","1016.2","0","6.7","100","","0.0","0.0","","","-1.4","3","71","pm25","98","41","18","39","2","4","1","Moderate","44.4062","4.507","44.1","0","","","","71.0","71.0","","","71.0","0.0","","","","0.0","","","71","1","98","98","1","1","0"
"2026-02-09T06:00:00+00:00","Lahore","6","0","2","40","1.0","0.0","0.866025","0.5","0.635432","0.772157","0","0","0","0","21.4","39","3.8","121","15.1","1016.5","0","7.1","100","","0.0","0.0","","","-1.3","3","71","pm25","98","41","18","39","2","4","1","Moderate","35.8474","5.3521","38.22","0","","","","71.0","71.0","71.0","","71.0","0.0","71.0","","","0.0","0.0","","71","1","98","98","1","1","0"
"2026-02-09T07:00:00+00:00","Lahore","7","0","2","40","0.965926","-0.258819","0.866025","0.5","0.635432","0.772157","0","1","0","0","23.2","33","3.6","147","16.6","1016.2","0","6.1","100","","0.0","0.0","","","-1.4","3","71","pm25","98","41","18","39","2","4","1","Moderate","36.2056","5.0704","32.34","0","","","","71.0","71.0","71.0","","71.0","0.0","71.0","","","0.0","0.0","","71","1","98","98","1","1","0"
"2026-02-09T08:00:00+00:00","Lahore","8","0","2","40","0.866025","-0.5","0.866025","0.5","0.635432","0.772157","0","1","0","0","24.2","29","1.9","119","15.5","1015.2","0","5.2","99","","0.0","0.0","","","-1.2","3","71","pm25","98","41","18","39","2","4","1","Moderate","66.5368","2.6761","28.42","0","","","","71.0","71.0","71.0","","71.0","0.0","71.0","","","0.0","0.0","","71","1","98","98","1","1","0"
"2026-02-09T09:00:00+00:00","Lahore","9","0","2","40","0.707107","-0.707107","0.866025","0.5","0.635432","0.772157","0","1","0","0","24.8","27","2.7","90","14.0","1014.3","0","4.7","100","","0.0","0.0","","","-1.7","3","71","pm25","98","41","18","39","2","4","1","Moderate","46.0963","3.8028","26.46","0","","","","71.0","71.0","71.0","","71.0","0.0","71.0","","","0.0","0.0","","71","1","98","98","1","1","0"
